SWING t:8.200000, st:100.000000, T=0.515221, Kx:0.003580, Kz:0.064908, x_swing:0.143200, x_support:39.856800, z:2.920866
SWING t:8.400000, st:100.000000, T=0.527788, Kx:0.003846, Kz:0.068038, x_swing:0.153835, x_support:39.846165, z:3.061723
SWING t:8.400000, st:100.000000, T=0.527788, Kx:0.003846, Kz:0.068038, x_swing:0.153835, x_support:39.846165, z:3.061723
SWING t:8.400000, st:100.000000, T=0.527788, Kx:0.003846, Kz:0.068038, x_swing:0.153835, x_support:39.846165, z:3.061723
SWING t:8.400000, st:100.000000, T=0.527788, Kx:0.003846, Kz:0.068038, x_swing:0.153835, x_support:39.846165, z:3.061723
SWING t:8.600000, st:100.000000, T=0.540354, Kx:0.004124, Kz:0.071237, x_swing:0.164976, x_support:39.835024, z:3.205650
SWING t:8.600000, st:100.000000, T=0.540354, Kx:0.004124, Kz:0.071237, x_swing:0.164976, x_support:39.835024, z:3.205650
SWING t:8.600000, st:100.000000, T=0.540354, Kx:0.004124, Kz:0.071237, x_swing:0.164976, x_support:39.835024, z:3.205650
SWING t:8.600000, st:100.000000, T=0.540354, Kx:0.004124, Kz:0.071237, x_swing:0.164976, x_support:39.835024, z:3.205650
SWING t:8.800000, st:100.000000, T=0.552920, Kx:0.004416, Kz:0.074503, x_swing:0.176634, x_support:39.823366, z:3.352624
SWING t:8.800000, st:100.000000, T=0.552920, Kx:0.004416, Kz:0.074503, x_swing:0.176634, x_support:39.823366, z:3.352624
SWING t:8.800000, st:100.000000, T=0.552920, Kx:0.004416, Kz:0.074503, x_swing:0.176634, x_support:39.823366, z:3.352624
SWING t:8.800000, st:100.000000, T=0.552920, Kx:0.004416, Kz:0.074503, x_swing:0.176634, x_support:39.823366, z:3.352624
SWING t:9.000000, st:100.000000, T=0.565487, Kx:0.004721, Kz:0.077836, x_swing:0.188821, x_support:39.811179, z:3.502622
SWING t:9.000000, st:100.000000, T=0.565487, Kx:0.004721, Kz:0.077836, x_swing:0.188821, x_support:39.811179, z:3.502622
SWING t:9.000000, st:100.000000, T=0.565487, Kx:0.004721, Kz:0.077836, x_swing:0.188821, x_support:39.811179, z:3.502622
SWING t:9.000000, st:100.000000, T=0.565487, Kx:0.004721, Kz:0.077836, x_swing:0.188821, x_support:39.811179, z:3.502622
SWING t:9.200000, st:100.000000, T=0.578053, Kx:0.005039, Kz:0.081236, x_swing:0.201546, x_support:39.798454, z:3.655619
SWING t:9.200000, st:100.000000, T=0.578053, Kx:0.005039, Kz:0.081236, x_swing:0.201546, x_support:39.798454, z:3.655619
SWING t:9.200000, st:100.000000, T=0.578053, Kx:0.005039, Kz:0.081236, x_swing:0.201546, x_support:39.798454, z:3.655619
SWING t:9.200000, st:100.000000, T=0.578053, Kx:0.005039, Kz:0.081236, x_swing:0.201546, x_support:39.798454, z:3.655619
SWING t:9.400000, st:100.000000, T=0.590619, Kx:0.005370, Kz:0.084702, x_swing:0.214820, x_support:39.785180, z:3.811592
SWING t:9.400000, st:100.000000, T=0.590619, Kx:0.005370, Kz:0.084702, x_swing:0.214820, x_support:39.785180, z:3.811592
SWING t:9.400000, st:100.000000, T=0.590619, Kx:0.005370, Kz:0.084702, x_swing:0.214820, x_support:39.785180, z:3.811592
SWING t:9.400000, st:100.000000, T=0.590619, Kx:0.005370, Kz:0.084702, x_swing:0.214820, x_support:39.785180, z:3.811592
SWING t:9.600000, st:100.000000, T=0.603186, Kx:0.005716, Kz:0.088234, x_swing:0.228654, x_support:39.771346, z:3.970517
