I/elog            [] EasyLogger V2.2.99 is initialize success.
I/MAIN            [] Dog Init Success
D/GAIT            []  SWING t:121.000000, st:250.000000, x_swing:646.693756, x_support:-611.693756, z:139.646572
D/GAIT            []  SWING t:122.000000, st:250.000000, x_swing:657.726199, x_support:-622.726199, z:139.801123
D/GAIT            []  SWING t:123.000000, st:250.000000, x_swing:668.769105, x_support:-633.769105, z:139.911587
D/GAIT            []  SWING t:124.000000, st:250.000000, x_swing:679.818990, x_support:-644.818990, z:139.977893
D/GAIT            []  SWING t:125.000000, st:250.000000, x_swing:690.872366, x_support:-655.872366, z:140.000000
D/GAIT            []  SWING t:126.000000, st:250.000000, x_swing:701.925741, x_support:-666.925741, z:139.977893
D/GAIT            []  SWING t:127.000000, st:250.000000, x_swing:712.975627, x_support:-677.975627, z:139.911587
D/GAIT            []  SWING t:128.000000, st:250.000000, x_swing:724.018533, x_support:-689.018533, z:139.801123
D/GAIT            []  SWING t:129.000000, st:250.000000, x_swing:735.050976, x_support:-700.050976, z:139.646571
D/GAIT            []  SWING t:130.000000, st:250.000000, x_swing:746.069479, x_support:-711.069479, z:139.448028
D/GAIT            []  SWING t:131.000000, st:250.000000, x_swing:757.070573, x_support:-722.070573, z:139.205621
D/GAIT            []  SWING t:132.000000, st:250.000000, x_swing:768.050800, x_support:-733.050800, z:138.919502
D/GAIT            []  SWING t:133.000000, st:250.000000, x_swing:779.006717, x_support:-744.006717, z:138.589852
D/GAIT            []  SWING t:134.000000, st:250.000000, x_swing:789.934893, x_support:-754.934893, z:138.216880
D/GAIT            []  SWING t:135.000000, st:250.000000, x_swing:800.831918, x_support:-765.831918, z:137.800820
D/GAIT            []  SWING t:136.000000, st:250.000000, x_swing:811.694400, x_support:-776.694400, z:137.341935
D/GAIT            []  SWING t:137.000000, st:250.000000, x_swing:822.518969, x_support:-787.518969, z:136.840516
D/GAIT            []  SWING t:138.000000, st:250.000000, x_swing:833.302279, x_support:-798.302279, z:136.296879
D/GAIT            []  SWING t:139.000000, st:250.000000, x_swing:844.041009, x_support:-809.041009, z:135.711368
D/GAIT            []  SWING t:140.000000, st:250.000000, x_swing:854.731868, x_support:-819.731868, z:135.084351
D/GAIT            []  SWING t:141.000000, st:250.000000, x_swing:865.371594, x_support:-830.371594, z:134.416227
D/GAIT            []  SWING t:142.000000, st:250.000000, x_swing:875.956958, x_support:-840.956958, z:133.707415
D/GAIT            []  SWING t:143.000000, st:250.000000, x_swing:886.484765, x_support:-851.484765, z:132.958365
D/GAIT            []  SWING t:144.000000, st:250.000000, x_swing:896.951856, x_support:-861.951856, z:132.169548
D/GAIT            []  SWING t:145.000000, st:250.000000, x_swing:907.355111, x_support:-872.355111, z:131.341464
D/GAIT            []  SWING t:146.000000, st:250.000000, x_swing:917.691450, x_support:-882.691450, z:130.474636
D/GAIT            []  SWING t:147.000000, st:250.000000, x_swing:927.957835, x_support:-892.957835, z:129.569610
D/GAIT            []  SWING t:148.000000, st:250.000000, x_swing:938.151273, x_support:-903.151273, z:128.626959
D/GAIT            []  SWING t:149.000000, st:250.000000, x_swing:948.268817, x_support:-913.268817, z:127.647278
